iter	Passed	Remaining
621	1730	1051
622	1732	1048
623	1734	1045
624	1737	1042
625	1739	1039
626	1741	1036
627	1743	1033
628	1746	1029
629	1748	1026
630	1750	1023
631	1753	1020
632	1755	1017
633	1757	1014
634	1759	1011
635	1761	1008
636	1764	1005
637	1766	1002
638	1769	999
639	1771	996
640	1773	993
641	1776	990
642	1778	987
643	1781	984
644	1783	981
645	1785	978
646	1787	975
647	1789	972
648	1792	969
649	1795	966
650	1797	963
651	1799	960
652	1802	957
653	1804	954
654	1806	951
655	1809	948
656	1811	945
657	1813	942
658	1815	939
659	1818	936
660	1820	933
661	1822	930
662	1825	927
663	1827	924
664	1829	921
665	1832	918
666	1834	915
667	1836	912
668	1839	909
669	1841	907
670	1844	904
671	1846	901
672	1849	898
673	1851	895
674	1854	892
675	1856	889
676	1859	886
677	1861	884
678	1863	881
679	1865	878
680	1868	875
681	1871	872
682	1873	869
683	1875	866
684	1877	863
685	1880	860
686	1882	857
687	1885	855
688	1887	852
689	1889	849
690	1892	846
691	1894	843
692	1897	840
693	1900	837
694	1902	835
695	1905	832
696	1908	829
697	1910	826
698	1913	824
699	1916	821
700	1918	818
701	1921	815
702	1923	812
703	1925	809
704	1927	806
705	1930	804
706	1933	801
707	1936	798
708	1938	795
709	1941	792
710	1943	789
711	1945	787
712	1949	784
713	1951	781
714	1954	779
715	1957	776
716	1960	773
717	1962	770
718	1964	767
719	1967	764
720	1969	762
721	1971	759
722	1975	756
723	1977	753
724	1980	751
725	1983	748
726	1985	745
727	1988	742
728	1990	740
729	1993	737
730	1995	734
731	1997	731
732	1999	728
733	2002	725
734	2007	723
735	2010	721
736	2012	718
737	2014	715
738	2016	712
739	2019	709
740	2022	706
741	2025	704
742	2028	701
743	2031	699
744	2034	696
745	2037	693
746	2040	691
747	2042	688
748	2045	685
749	2047	682
750	2050	679
751	2053	677
752	2055	674
753	2058	671
754	2060	668
755	2062	665
756	2065	663
757	2068	660
758	2070	657
759	2073	654
760	2076	652
761	2078	649
762	2080	646
763	2082	643
764	2086	640
765	2089	638
766	2092	635
767	2095	632
768	2098	630
769	2100	627
770	2102	624
771	2105	621
772	2108	619
773	2111	616
774	2113	613
775	2115	610
776	2118	607
777	2121	605
778	2126	603
779	2129	600
780	2131	597
781	2133	594
782	2136	592
783	2139	589
784	2142	586
785	2145	584
786	2148	581
787	2151	578
788	2153	575
789	2158	573
790	2161	571
791	2164	568
792	2166	565
793	2169	562
794	2172	560
795	2175	557
796	2177	554
797	2180	551
798	2182	549
799	2186	546
800	2188	543
801	2190	540
802	2193	538
803	2196	535
804	2199	532
805	2201	529
806	2203	527
807	2206	524
808	2208	521
809	2211	518
810	2213	515
811	2215	513
812	2218	510
813	2220	507
814	2221	504
815	2224	501
816	2227	498
817	2229	496
818	2231	493
819	2234	490
820	2236	487
821	2238	484
822	2241	482
823	2243	479
824	2245	476
825	2247	473
826	2250	470
827	2252	467
828	2254	465
829	2256	462
830	2259	459
831	2261	456
832	2263	453
833	2265	451
834	2268	448
835	2270	445
836	2273	442
837	2276	440
838	2278	437
839	2280	434
840	2282	431
841	2284	428
842	2286	425
843	2288	423
844	2290	420
845	2292	417
846	2294	414
847	2296	411
848	2299	408
849	2301	406
850	2304	403
851	2306	400
852	2308	397
853	2311	395
854	2313	392
855	2315	389
856	2318	386
857	2320	384
858	2322	381
859	2325	378
860	2327	375
861	2329	372
862	2332	370
863	2334	367
864	2336	364
865	2338	361
866	2340	359
867	2343	356
868	2345	353
869	2347	350
870	2350	348
871	2352	345
872	2354	342
873	2356	339
874	2358	336
875	2361	334
876	2365	331
877	2367	328
878	2369	326
879	2371	323
880	2373	320
881	2376	317
882	2378	315
883	2381	312
884	2383	309
885	2386	307
886	2388	304
887	2391	301
888	2394	298
889	2396	296
890	2399	293
891	2401	290
892	2403	287
893	2406	285
894	2409	282
895	2411	279
896	2414	277
897	2416	274
898	2418	271
899	2420	268
900	2422	266
901	2425	263
902	2427	260
903	2429	258
904	2431	255
905	2433	252
906	2436	249
907	2439	247
908	2440	244
909	2443	241
910	2445	238
911	2448	236
912	2450	233
913	2453	230
914	2455	228
915	2457	225
916	2459	222
917	2462	219
918	2465	217
919	2467	214
920	2469	211
921	2472	209
922	2474	206
923	2476	203
924	2478	200
925	2481	198
926	2484	195
927	2486	192
928	2488	190
929	2491	187
930	2493	184
931	2496	182
932	2499	179
933	2501	176
934	2503	174
935	2505	171
936	2510	168
937	2512	166
938	2514	163
939	2516	160
940	2518	157
941	2522	155
942	2525	152
943	2527	149
944	2529	147
945	2531	144
946	2534	141
947	2536	139
948	2539	136
949	2541	133
950	2543	131
951	2546	128
952	2548	125
953	2550	122
954	2552	120
955	2554	117
956	2557	114
957	2559	112
958	2561	109
959	2566	106
960	2568	104
961	2571	101
962	2573	98
963	2575	96
964	2578	93
965	2579	90
966	2581	88
967	2584	85
968	2586	82
969	2587	80
970	2590	77
971	2592	74
972	2594	71
973	2596	69
974	2599	66
975	2601	63
976	2603	61
977	2605	58
978	2608	55
979	2610	53
980	2613	50
981	2615	47
982	2617	45
983	2619	42
984	2621	39
985	2623	37
986	2626	34
987	2628	31
988	2630	29
989	2632	26
990	2634	23
991	2636	21
992	2638	18
993	2641	15
994	2643	13
995	2645	10
996	2647	7
997	2649	5
998	2651	2
999	2654	0
